,Tweet
129,Via @samsamburenhulp gekoppeld aan een Syrisch gezin uit Geffen. @VluchtelingWerk Na vijf lessen draag ik over aan @dorpsraadgeffen akkoord?
130,Durchs Nadelöhr! #syrisch #türkische #Grenze! #Fluechtlinge http://t.co/gAp7h5jTvD
131,Dramatische Szenen haben sich an der syrisch-türkischen Grenze abgespielt... http://t.co/X4KmxvJQqe
132,@Solarvogel  Al Dar (Syrisch) Königstrasse; Globetrotter (Steakhaus) Breite Strasse
133,"Weitere Befreiung von IS!
Tel Abyad/Girêspi (an der syrisch türkischen Grenze) wurde durch YPG/YPJ von IS befreit."
134,Daarmee hebben Koerden/FSA plotseling op 2 plekken na de hele Syrisch-Turkse grens in handen. Lifeline voor IS naar Turkije wordt dun.
135,Zeer gevoelige nederlaag voor IS aan de Syrisch-Turkse grens. Koerden nemen grensplaats direct ten noorden van Raqqa in.
136,"Verschil 1e en 2e generatie Syriëgangers; ""leed Syrisch volk"" versus ""gruwelen van ISIS"". Maar waarom is die 1e generatie dan gebleven? #HNA"
137,Syrische Koerden veroveren grenspost met Turkije: In het noorden van Syrië heeft de Syrisch-Koerdische militie... http://t.co/l6OJQ8VZgo
138,"@apjvalk @gertjansegers En ik lees net dat Putin daar goed garen bij spint ivm Ukraine crisis... niet fijn voor Syrisch volk, toch?"
139,"Dramatische Szenen an der syrisch-türkischen Grenze-Tausende Menschen, v.a. Frauen+kleine Kinder fliehen vor dem IS. https://t.co/xCXOvOp6Ln"
140,Uitzicht vanuit mijn BOZAR-bureau. Het werk in opbouw - SEARCH AND DESTROY- is van de Syrisch-Armeens-Gentse... http://t.co/EOHLX2ggu0
141,Amerikaanse luchtaanvallen en grondaanval van Koerden verdrijven de lokale bevolking uit de noord-Syrisch stad Tal Abyad.
142,"Drama an der syrisch-türkischen Grenze: Unfassbar, was syrische #Flüchtlinge erleben müssen http://t.co/JkuKCS4DRv http://t.co/dBBzyvvhdD"
143,Gut besuchtes Gemeindefest der Syrisch-Othodoxen Kirche auf dem Waldsportplatz - Leimen-Lokal http://t.co/pBbhok6tAa
144,Syrisch-Koerdische YPG spreekt beschuldigingen van etnisch zuiveren tegen http://t.co/BTjgdTtOLr
145,Flüchtlingsdrama in der Türkei - Tausende Syrer fliehen vor heftigen Kämpfen: An der syrisch-türk... http://t.co/XRxM8BJWEq #Nachrichten
146,"Voor mij de foto van de dag. Syrisch meisje probeert Turkije in te komen. 
#Syria #internationalegemeenschap #grijpin http://t.co/1vSrwNoYD6"
147,"“@marktraa: Intussen bij de Syrisch-Turkse grens (AFP) http://t.co/dY2bePYKc7”
Mijn hart breekt! Mensen in doodsnood."
148,Intussen bij de Syrisch-Turkse grens (AFP) http://t.co/7y97LDvBpn
149,"#MeltingPot ist, wenn du auf einem syrisch-kurdischen Dorftreffen eine holländische Menunitenpastorin triffst."
150,#IS-#Terroristen halten #Fluechtlinge an der syrisch-türkischen Grenze auf - beeindruckende Bilder: http://t.co/HuE7wK9ukP
